Country Name,Country Code,Series Name,Series Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100,7524100,..
"Hong Kong SAR, China",HKG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,43.4927,44.4638,38.1388,38.6275,36.0962,34.41,42.5728,45.5399,41.901,41.8569,40.9513,44.5174,40.7516,43.0054,42.4322,44.4311,43.1304,45.1455,42.2277,45.1822,44.647,46.1858,47.5543,44.2455,45.0794,44.1348,44.0591,43.5082,34.0619,34.5373,32.1322,34.1194,34.6162,..
"Hong Kong SAR, China",HKG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,7.49809499181105,7.53496017624131,6.31918348411042,6.27467065187375,5.60891927589154,5.30257500809024,6.50592172624051,6.89319609475517,6.28672168042011,6.23399311916358,6.07216678281757,6.61398347893267,6.00745927618486,6.3120706863148,6.18806784209068,6.42411404941949,6.19885596021731,6.47451525929325,6.01174510976339,6.38924712936252,6.24424833219116,6.43354831520149,6.57781312677225,6.06825943247432,6.14445383420113,5.96964778445058,5.91190993747149,5.79498927796055,4.55312124047587,4.65895509301102,4.37404881501749,4.52746115364711,4.60070971943488,..
Hungary,HUN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18197.5305521351,18113.3369069655,18672.707236547,18977.2437047366,19029.1137284914,19635.2949600537,20438.3829550506,21128.8884639402,22117.9204303193,23069.2114730987,24229.2953575981,25255.8711300567,26568.118861864,27765.7886146197,28903.0475407078,29044.0669021254,29384.0070385818,27445.959458479,27801.833816111,28415.1173442897,28179.656464434,28891.0217544976,30264.9492302161,31485.5675425634,32378.9674983075,33828.714942571,35798.0412754022,37662.67681014,36119.5211735652,38887.1909527154,40610.9711368238,40333.2546888118,40686.9319263343,..
Hungary,HUN,"Population, total",SP.POP.TOTL,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9872734,9833038,9797755,9759755,9726756,9706964,9694824,9670419,9630932,9605074,9592186,9562065,..
Hungary,HUN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,61.7189,62.7128,62.4597,62.3673,63.5949,62.3043,62.2073,62.6148,59.4623,61.0051,59.9824,62.681,60.8195,61.2153,60.6797,59.1451,57.8384,51.7014,52.3463,51.4367,47.6527,44.7966,44.8322,47.541,48.2651,51.1346,51.2595,51.5028,49.6521,50.986,47.5733,42.9776,42.6269,..
Hungary,HUN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,5.95205616248901,6.05480673323149,6.03863059906578,6.03809771840644,6.16753293833388,6.05455369163322,6.05920964840253,6.11620185728393,5.82337370265766,5.9881860022443,5.90458850267675,6.18793407645274,6.01747516064377,6.06869292504807,6.02496979060446,5.88170186698595,5.76183669801761,5.15845609694043,5.23461796037869,5.15825393134008,4.80352430687509,4.5374057479924,4.55934371452648,4.85223400666785,4.94531881179394,5.2571073027842,5.28069332491601,5.31240175169761,5.13443109342005,5.29398400902426,4.95293425120931,4.48048025757632,4.45791782423566,..
Iceland,ISL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39842.3760942383,39957.3221402786,41042.0117943302,40867.564218067,42475.6936133275,43873.6690642163,46449.3454621245,47679.8715900493,49338.4714252632,50556.9938356842,50379.4595507316,51173.1982542632,54592.5314628804,57512.4237338213,59364.2901148281,62940.7473430955,62831.1728631816,57406.4697506817,56211.8345417402,56813.742648754,57173.0434212296,58671.930709837,59133.2701459773,60725.7271247657,63612.5551585223,64303.3782501037,65521.9313424781,64826.4324085557,59543.813498684,61610.2132740715,65380.3173049324,68118.3960312086,67310.0573573616,..
Iceland,ISL,"Population, total",SP.POP.TOTL,261057,263725,266021,267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520,382003,385663,386506,..
Iceland,ISL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2.306,2.4069,2.5207,2.4404,2.7086,2.6247,2.7082,2.741,2.8524,2.9576,3.1289,3.1,3.1757,3.1274,3.2417,3.4751,3.7798,3.8274,3.7364,3.6038,3.6451,3.7106,3.4639,3.6292,3.1789,3.3299,3.2946,3.1768,3.0717,3.1637,3.2394,3.22,3.293,..
